date,timeofday,condition,rep,SoilTemp,SoilMoisture
2021-07-13,17:18,HighLight,FH2,33.38,0.89
2021-07-13,17:18,HighLight,FH4,NA,6.22
2021-07-13,17:18,HighLight,MH1,33.31,191.86
2021-07-13,17:18,HighLight,RH10,33.5,0.29
2021-07-13,17:18,HighLight,MH5,33.0,126.09
2021-07-13,17:18,HighLight,MH6,NA,71.2
2021-07-13,17:19,DARK,FD2,33.44,633.43
2021-07-13,17:19,DARK,FD6,NA,556.06
2021-07-13,17:19,DARK,RD6,NA,572.19
2021-07-13,17:19,DARK,MD1,33.62,478.74
2021-07-13,17:19,DARK,RD3,34.0,643.27
2021-07-13,17:19,DARK,RD10,NA,597.17
2021-07-13,17:19,DARK,MD6,34.5,431.66
2021-07-13,17:19,DARK,MD5,NA,553.88
2021-07-13,17:19,DARK,FD1,NA,410.96
2021-07-13,17:19,HighLight,RH2,34.06,34.58
2021-07-13,17:19,HighLight,RH5,NA,153.63
2021-07-13,17:19,HighLight,FH5,34.0,4.74
2021-07-13,17:19,HighLight,FH2,33.44,0.79
2021-07-13,17:19,HighLight,FH4,NA,6.55
2021-07-13,17:19,HighLight,MH1,33.31,199.81
2021-07-13,17:19,HighLight,RH10,33.5,0.33
2021-07-13,17:19,HighLight,MH5,33.0,130.93
2021-07-13,17:19,HighLight,MH6,NA,74.18
2021-07-13,17:20,DARK,FD2,33.44,634.59
2021-07-13,17:20,DARK,FD6,NA,557.87
2021-07-13,17:20,DARK,RD6,NA,574.63
2021-07-13,17:20,DARK,MD1,33.62,479.46
2021-07-13,17:20,DARK,RD3,34.0,644.36
2021-07-13,17:20,DARK,RD10,NA,598.85
2021-07-13,17:20,DARK,MD6,34.5,433.71
2021-07-13,17:20,DARK,MD5,NA,555.5
2021-07-13,17:20,DARK,FD1,NA,413.52
2021-07-13,17:20,HighLight,RH2,34.06,34.46
2021-07-13,17:20,HighLight,RH5,NA,153.97
2021-07-13,17:20,HighLight,FH5,34.0,4.83
